0	0	187.8	0	187.6	43.04	3235	356.5	3229	0
5	1	183.2	0	188.0	0	3209	0	3326	476.0
10	3	186.2	0	189.4	0	3211	321.2	3263	0
15	5	189.2	32.70	189.8	0	2911	641.3	3114	671.3
20	7	186.1	36.00	187.8	31.88	3013	661.7	3134	0
25	9	189.5	18.64	183.7	0	2866	0	2907	15.58
30	11	190.8	0	190.4	0	2991	0	2934	475.7
35	13	190.5	0	190.4	0	3003	0	2793	119.6
40	15	183.2	0	174.6	0	2776	203.3	2720	0
45	16	184.0	0	147.8	0	2991	0	2722	441.4
50	18	142.7	0	139.6	0	2947	0	2336	0
53	21	201.2	0	176.8	0	2843	0	2552	393.8
56	22	188.1	15.21	172.3	18.85	2825	0	2547	378.0
59	24	186.8	33.17	182.7	0	2840	555.9	2502	434.5
62	26	189.0	0	146.8	0	2883	0	2389	0
65	28	149.2	14.19	144.4	6.258	2714	270.4	2171	272.2
70	32	136.0	0	138.7	27.03	2634	158.6	1934	0
75	35	144.2	0	135.1	0	2388	0	1637	0
80	39	123.4	4.464	115.1	19.13	1875	0	1106	148.7
85	42	131.1	7.783	119.8	0	1097	0	576.6	30.45
