0	1	154.4	30.11	152.1	0	2888	0	2845	0
5	2	135.8	14.82	141.2	0	2783	0	3016	299.8
10	5	150.9	6.828	171.4	0	2742	0	2840	0
15	6	147.1	0	133.6	0	2776	341.5	2556	0
20	10	164.3	7.915	178.9	27.04	2676	0	2867	0
25	13	178.3	0	184.1	0	2701	416.5	2750	411.0
27	14	180.7	0	174.6	0	2661	0	2734	0
30	15	184.3	24.45	186.9	0	2766	0	2425	241.6
32	18	178.1	16.51	173.6	0	2700	132.4	2651	0
35	21	175.3	0	152.2	18.19	2639	0	2464	0
38	25	100.7	0	100.2	6.882	2580	481.6	2251	104.5
40	28	150.1	18.64	145.5	0	2530	0	2057	327.1
42	34	141.7	19.97	133.8	0	2363	0	1700	0
44	43	114.7	21.55	80.64	0	954.7	128.6	544.7	0
