15	150	293.0	0	282.7	45.88	276.7	8.061	434.0	0
19	142	245.4	24.56	208.5	17.67	330.8	58.41	377.8	40.25
25	129	165.1	0	163.3	38.30	246.5	0	319.1	0
30	121	185.6	0	174.2	8.07	269.3	0	369.8	0
35	110	150.2	0	131.6	0	216.5	19.35	328.7	0
40	102	130.2	0	121.5	0	181.3	0	388.0	50.18
45	93	86.88	0	108.5	0	176.1	6.111	389.0	40.27
50	82	107.0	15.19	112.2	0	127.6	0	448.6	22.05
53	75	142.0	0	121.6	17.40	131.1	0	540.2	0
56	70	145.4	16.69	140.4	29.63	130.8	7.725	590.5	0
59	64	146.3	0	155.9	27.08	135.5	22.84	682.1	55.75
62	57	133.3	28.45	157.2	11.79	151.0	0	792.1	127.7
65	52	146.3	0	151.1	0	166.2	3.570	894.1	171.5
70	42	171.5	0	173.0	5.583	247.0	41.29	1113	0
75	32	167.9	0	167.0	0	439.2	47.83	1428	337.2
80	22	156.2	0	158.4	19.07	858.6	131.0	1859	0
85	12	238.8	29.79	234.2	0	1701	251.3	2484	438.2
